"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[URGENT]] BUSINESS ASSISTANCE AND PARTNERSHIP","[[ACCELERATED]] BUSINESS ASSISTANCE AND PARTNERSHIP",0.19999998807907104,0.5,1,0,1,50,"Successful"
"[[URGENT]] ASSISTANCE /RELATIONSHIP (P)","[[ACCELERATED]] ASSISTANCE /RELATIONSHIP (P)",0.19999998807907104,0.5,1,0,1,47,"Successful"
"GOOD DAY TO YOU","GOOD DAY TO YOU",0.5,0.5,0,0,1,1,"Skipped"
"GOOD DAY TO YOU","GOOD DAY TO YOU",0.5,0.5,0,0,1,1,"Skipped"
"I Need Your Assistance.","I Need Your Assistance.",0.5,0.5,0,0,1,1,"Skipped"
"Partnership","Partnership",0.5,0.5,0,0,1,1,"Skipped"
"[[Urgent]] Attention","[[Imperative]] Attention",0.19999998807907104,0.5,1,0,1,10,"Successful"
"[[URGENT]] BUSINESS PRPOSAL","[[ACCELERATED]] BUSINESS PRPOSAL",0.19999998807907104,0.5,1,0,1,48,"Successful"
"THANK YOU","THANK YOU",0.5,0.5,0,0,1,1,"Skipped"
"[[Urgent]] Assistance","[[Imperative]] Assistance",0.19999998807907104,0.5,1,0,1,8,"Successful"
"IMPORTANT","IMPORTANT",0.5,0.5,0,0,1,1,"Skipped"
"[[URGENT]] ASSISTANCE.","[[ACCELERATED]] ASSISTANCE.",0.19999998807907104,0.5,1,0,1,46,"Successful"
"From: Barrister Peter Brown","From: Barrister Peter Brown",0.5,0.5,0,0,1,1,"Skipped"
"MICHAEL","MICHAEL",0.5,0.5,0,0,1,1,"Skipped"
"*****SPAM***** IMPORTANT","*****SPAM***** IMPORTANT",0.5,0.5,0,0,1,1,"Skipped"
"TRUST TRANSACTION","TRUST TRANSACTION",0.5,0.5,0,0,1,1,"Skipped"
"REQUEST FOR YOUR UNRESERVED ASSISTANCE","REQUEST FOR YOUR UNRESERVED ASSISTANCE",0.5,0.5,0,0,1,1,"Skipped"
"[[Urgent]] Assistance","[[Imperative]] Assistance",0.19999998807907104,0.5,1,0,1,8,"Successful"
"[[URGENT]] BUSINESS PROPOSAL","[[ACCELERATED]] BUSINESS PROPOSAL",0.19999998807907104,0.5,1,0,1,47,"Successful"
"WANTED FOR FRAUD: Fawwaz Ulaby","WANTED FOR FRAUD: Fawwaz Ulaby",0.5,0.5,0,0,1,1,"Skipped"
